Bildnummer;Zeit [s];Pixel (X) [px];Pixel (Y) [px];X Position [mm];Y Position [mm];Abstand [mm];Abstand in x-Richtung [mm];Abstand in y-Richtung [mm];Strecke [mm];Strecke in x-Richtung [mm];Strecke in y-Richtung [mm];Geschwindigkeit [mm/s];Geschwindigkeit in x-Richtung [mm/s];Geschwindigkeit in y-Richtung [mm/s];Beschleunigung [mm/s²];Beschleunigung in x-Richtung [mm/s²];Beschleunigung in y-Richtung [mm/s²];
350;11,669;16;-114;3,7;-27,22;1,07;-0,48;-0,96;1550,41;1,67;0;44,5;-19,9;-39,8;-921,28;829,19;2591,21;
351;11,693;14;-118;3,22;-28,18;0,72;0;0,72;1551,12;1,67;0,72;22,39;0;22,39;1010,57;0;1010,57;
352;11,725;14;-115;3,22;-27,46;2,63;0;2,63;1553,75;1,67;3,34;54,73;0;54,73;1267,19;0;1267,19;
353;11,773;14;-104;3,22;-24,84;3,58;0;3,58;1557,33;1,67;6,93;115,55;0;115,55;1985,9;285,31;1978,78;
354;11,804;14;-89;3,22;-21,25;4,78;0,24;4,78;1562,12;1,91;11,7;177,11;8,84;176,89;-196,85;-1085,69;-233,99;
355;11,831;14;-69;3,46;-16,48;6,01;-0,72;5,97;1568,13;1,19;17,67;171,8;-20,47;170,58;-438,3;584,83;-403,33;
356;11,866;12;-44;2,75;-10,51;4,54;0;4,54;1572,67;1,19;22,21;156,46;0;156,46;1043,35;257,33;1038,21;
357;11,895;12;-25;2,75;-5,97;5,97;0,24;5,97;1578,64;1,43;28,18;186,72;7,46;186,57;2381,8;488,99;2354,66;
358;11,927;12;0;2,99;0;8,15;0,72;8,12;1586,79;2,15;36,3;262,93;23,11;261,92;-3001,71;-65,78;-3011,2;
359;11,958;16;34;3,7;8,12;5,78;0,72;5,73;1592,57;2,87;42,03;169,88;21,07;168,57;-401,92;444,46;-488,28;
360;11,992;18;58;4,42;13,85;5,16;1,19;5,01;1597,72;4,06;47,04;156,22;36,18;151,97;-1928,98;-579,55;-1848,29;
361;12,025;24;79;5,61;18,87;3,89;0,72;3,82;1601,61;4,78;50,87;92,56;17,06;90,97;241,21;31,24;239,51;
362;12,067;26;95;6,33;22,69;2,67;0,48;2,63;1604,28;5,25;53,49;102,69;18,37;101,03;-2704,88;-149,87;-2772,58;
363;12,093;28;106;6,81;25,31;1,07;0,48;0,96;1605,35;5,73;54,45;32,36;14,47;28,95;-287,24;-219,29;-1535,02;
364;12,126;30;110;7,28;26,27;0,76;0,24;-0,72;1606,1;5,97;53,73;22,88;7,24;-21,71;1567,97;-219,29;-1603,55;
365;12,159;32;107;7,52;25,55;2,39;0;-2,39;1608,49;5,97;51,34;74,63;0;-74,63;1348,65;639,66;-1292,64;
366;12,191;32;97;7,52;23,16;4,12;0,72;-4,06;1612,61;6,69;47,28;117,78;20,47;-115,99;1653,34;-1650,93;-1590,01;
367;12,226;34;80;8,24;19,1;5,62;-1,19;-5,49;1618,23;5,49;41,79;175,65;-37,31;-171,64;2652,03;1166,04;-2777,31;
368;12,258;30;57;7,04;13,61;8,6;0;-8,6;1626,83;5,49;33,19;260,52;0;-260,52;-1296,39;0;1296,39;
369;12,291;30;21;7,04;5,01;7,4;0;-7,4;1634,23;5,49;25,79;217,73;0;-217,73;-203,14;-206,58;206,58;
370;12,325;30;-10;7,04;-2,39;7,17;-0,24;-7,16;1641,4;5,25;18,63;210,83;-7,02;-210,71;-1888,52;1304,03;2027,06;
371;12,359;28;-40;6,81;-9,55;4,69;1,19;-4,54;1646,09;6,45;14,09;146,62;37,31;-141,79;677,71;-762,66;-813,08;
372;12,391;34;-59;8;-14,09;6,23;0,48;-6,21;1652,32;6,93;7,88;168,31;12,91;-167,81;-1491,53;-348,88;1478,13;
373;12,428;36;-85;8,48;-20,3;4,3;0;-4,3;1656,62;6,93;3,58;113,12;0;-113,12;-340,51;-433,4;376,38;
374;12,466;36;-103;8,48;-24,6;2,91;-0,48;-2,87;1659,53;6,45;0,72;100,18;-16,47;-98,82;-2391,92;567,91;2344,92;
375;12,495;34;-115;8;-27,46;0,96;0;-0,96;1660,48;6,45;-0,24;30,81;0;-30,81;-455,7;-240,73;1475,45;
376;12,526;34;-119;8;-28,42;0,53;-0,24;0,48;1661,01;6,21;0,24;16,69;-7,46;14,93;1976,35;7,07;2021,14;
377;12,558;32;-117;7,76;-27,94;2,64;-0,24;2,63;1663,65;5,97;2,87;79,93;-7,24;79,6;117,11;38,38;120,61;
378;12,591;32;-106;7,52;-25,31;3,35;-0,24;3,34;1667;5,73;6,21;83,8;-5,97;83,58;1503,42;-191,9;1492,54;
379;12,631;30;-92;7,28;-21,97;5,04;-0,48;5,01;1672,04;5,25;11,22;143,93;-13,65;143,28;-747,24;-163,33;-774,51;
380;12,666;28;-71;6,81;-16,96;4,36;-0,72;4,3;1676,4;4,54;15,52;117,78;-19,36;116,18;4203,75;-356,81;4194,45;
381;12,703;26;-53;6,09;-12,66;6,01;-0,72;5,97;1682,41;3,82;21,49;273,32;-32,56;271,37;-4754,64;1160,94;-4672,8;
382;12,725;22;-28;5,37;-6,69;5,74;-0,24;5,73;1688,15;3,58;27,22;168,72;-7,02;168,57;1622,51;206,58;1626,81;
383;12,759;22;-4;5,13;-0,96;7,16;0;7,16;1695,31;3,58;34,39;223,88;0;223,88;-809,22;213,22;-812,9;
384;12,791;22;26;5,13;6,21;6,93;0,24;6,93;1702,24;3,82;41,31;197,99;6,82;197,87;-1500,93;218,57;-1518,2;
385;12,826;22;55;5,37;13,13;4,8;0,48;4,78;1707,04;4,3;46,09;145,45;14,47;144,73;-871,73;-877,16;-877,16;
386;12,859;24;75;5,85;17,91;3,85;-0,48;3,82;1710,89;3,82;49,91;116,69;-14,47;115,78;-1407,54;438,58;-1380,23;
387;12,892;22;91;5,37;21,73;2,39;0;2,39;1713,28;3,82;52,3;70,24;0;70,24;-1084,2;-438,98;-1187,83;
388;12,926;22;101;5,37;24,12;1,07;-0,48;0,96;1714,35;3,34;53,25;33,37;-14,93;29,85;-437,86;466,42;-1537,92;
389;12,958;20;105;4,9;25,07;0,72;0;-0,72;1715,07;3,34;52,54;19,36;0;-19,36;1412,58;-379,66;-1374,98;
390;12,995;20;102;4,9;24,36;2,44;-0,48;-2,39;1717,5;2,87;50,15;71,63;-14,05;-70,24;991,99;413,16;-1032,9;
391;13,029;18;92;4,42;21,97;3,58;0;-3,58;1721,08;2,87;46,57;105,36;0;-105,36;2222,57;-752,54;-2169,09;
392;13,063;18;77;4,42;18,39;5,07;-0,72;-5,01;1726,15;2,15;41,55;180,92;-25,59;-179,1;-83,83;182,76;60,92;
393;13,091;16;56;3,7;13,37;6,25;-0,72;-6,21;1732,4;1,43;35,34;178,58;-20,47;-177,4;2352,62;171,31;-2374,77;
394;13,126;12;30;2,99;7,16;8,61;-0,48;-8,6;1741,01;0,96;26,75;260,92;-14,47;-260,52;-1118,56;664,72;1110,15;
395;13,159;10;-6;2,51;-1,43;7,17;0,24;-7,16;1748,18;1,19;19,58;224;7,46;-223,88;-3227,07;326,49;3264,93;
396;13,191;12;-36;2,75;-8,6;4,83;0,72;-4,78;1753,01;1,91;14,81;120,74;17,91;-119,4;2329,63;215,59;-2321,72;
397;13,231;14;-56;3,46;-13,37;5,78;0,72;-5,73;1758,78;2,63;9,07;213,92;26,53;-212,27;-2562,7;-982,74;2501,52;
398;13,258;18;-80;4,18;-19,1;4,78;0;-4,78;1763,56;2,63;4,3;144,73;0;-144,73;-2289,68;344,6;2318,2;
399;13,291;18;-100;4,18;-23,88;2,91;0,48;-2,87;1766,46;3,1;1,43;69,17;11,37;-68,23;-219,57;121,37;252,08;
400;13,333;20;-112;4,66;-26,75;1,74;0,48;-1,67;1768,2;3,58;-0,24;59,95;16,47;-57,64;-1077,54;-18,93;2811,15;
401;13,362;22;-119;5,13;-28,42;0,86;0,48;0,72;1769,06;4,06;0,48;28,7;15,92;23,88;684,34;-132,67;796,02;
402;13,392;24;-116;5,61;-27,7;1,97;0,48;1,91;1771,03;4,54;2,39;49,23;11,94;47,76;1784,6;127,93;1791,04;
403;13,432;26;-108;6,09;-25,79;3,38;0,48;3,34;1774,41;5,01;5,73;120,62;17,06;119,4;-137,75;-410,86;-99,17;
404;13,46;28;-94;6,57;-22,45;5,02;0,24;5,01;1779,43;5,25;10,75;116,76;5,55;116,63;-1,69;-465,74;-19,57;
405;13,503;28;-73;6,81;-17,43;3,85;-0,48;3,82;1783,28;4,78;14,57;116,69;-14,47;115,78;1305,15;840,61;1315,74;
406;13,536;26;-57;6,33;-13,61;5,75;0,48;5,73;1789,03;5,25;20,3;159,76;13,27;159,2;1963,31;-605,44;1974,26;
407;13,572;28;-33;6,81;-7,88;6,45;-0,24;6,45;1795,48;5,01;26,75;230,44;-8,53;230,28;2691,22;1015,33;2673,71;
408;13,6;28;-6;6,57;-1,43;11,01;0,72;10,99;1806,49;5,73;37,73;305,79;19,9;305,14;-5221,86;50,25;-5259,9;
409;13,636;30;40;7,28;9,55;3,89;0,72;3,82;1810,38;6,45;41,55;117,8;21,71;115,78;3528,66;915,29;3413,28;
410;13,669;34;56;8;13,37;5,39;1,19;5,25;1815,77;7,64;46,81;234,25;51,91;228,42;-5428,99;-1960,49;-5184,99;
411;13,692;38;78;9,19;18,63;3,83;0,24;3,82;1819,6;7,88;50,63;109,38;6,82;109,17;-474,86;25,15;-477,93;
412;13,727;40;94;9,43;22,45;2,88;0,24;2,87;1822,47;8,12;53,49;92,76;7,7;92,44;-1859,45;-248,5;-1849,11;
413;13,758;40;106;9,67;25,31;1,19;0;1,19;1823,67;8,12;54,69;35,12;0;35,12;-398,3;-200,68;-1634,93;
414;13,792;40;111;9,67;26,51;0,76;-0,24;-0,72;1824,42;7,88;53,97;21,58;-6,82;-20,47;1144,32;194,94;-1175,95;
415;13,827;40;108;9,43;25,79;1,91;0;-1,91;1826,33;7,88;52,06;61,63;0;-61,63;1987,31;-233,44;-1980,45;
416;13,858;40;100;9,43;23,88;4,07;-0,24;-4,06;1830,4;7,64;48;123,23;-7,24;-123,02;2568,71;-1057,75;-2444,43;
417;13,891;38;83;9,19;19,82;7,07;-1,43;-6,93;1837,47;6,21;41,07;208;-42,14;-203,69;-838,69;436,77;773,2;
418;13,925;32;54;7,76;12,9;6,28;-0,96;-6,21;1843,75;5,25;34,87;179,49;-27,29;-177,4;340,91;438,62;-389,89;
419;13,96;28;28;6,81;6,69;7,66;-0,48;-7,64;1851,41;4,78;27,22;191,42;-11,94;-191,04;2137,55;-390,36;-2112,51;
420;14;26;-4;6,33;-0,96;7,2;-0,72;-7,16;1858,61;4,06;20,06;276,92;-27,55;-275,55;-5189,71;1346,82;5144,4;
421;14,026;24;-34;5,61;-8,12;4,54;0,24;-4,54;1863,15;4,3;15,52;141,99;7,46;-141,79;1054,55;-13,72;-1056,3;
422;14,058;24;-53;5,85;-12,66;5,97;0,24;-5,97;1869,13;4,54;9,55;175,73;7,02;-175,59;-2294,07;-654,9;2325,12;
423;14,092;26;-78;6,09;-18,63;4,59;-0,72;-4,54;1873,72;3,82;5,01;97,73;-15,24;-96,54;1083,52;-338,42;-1038,76;
424;14,139;22;-97;5,37;-23,16;3,42;-0,72;-3,34;1877,14;3,1;1,67;148,66;-31,15;-145,36;-5217,54;1354,29;5074,06;
425;14,162;20;-111;4,66;-26,51;1,43;0;-1,43;1878,57;3,1;0,24;28,66;0;-28,66;-11,04;-502,75;824,51;
426;14,212;20;-117;4,66;-27,94;0,53;-0,48;0,24;1879,11;2,63;0,48;28,1;-25,14;12,57;1872,48;1323,02;2690,15;
427;14,231;18;-116;4,18;-27,7;1,91;0;1,91;1881,02;2,63;2,39;63,68;0;63,68;839,76;-418,96;809,99;
428;14,261;18;-108;4,18;-25,79;3,38;-0,48;3,34;1884,39;2,15;5,73;88,87;-12,57;87,98;977,95;330,76;1001,46;
429;14,299;16;-94;3,7;-22,45;4,54;0;4,54;1888,93;2,15;10,27;126,04;0;126,04;1078,32;-414,59;1059,52;
430;14,335;16;-75;3,7;-17,91;5,28;-0,48;5,25;1894,21;1,67;15,52;164,86;-14,93;164,18;1444,39;-466,42;1399,25;
431;14,367;14;-53;3,22;-12,66;5,07;-0,72;5,01;1899,27;0,96;20,54;211,08;-29,85;208,96;-1446,81;1480,69;-1362,24;
432;14,391;10;-32;2,51;-7,64;7,41;0,24;7,4;1906,68;1,19;27,94;176,35;5,69;176,26;1280,43;75,21;1278,57;
433;14,433;12;-1;2,75;-0,24;6,21;0,24;6,21;1912,89;1,43;34,15;230,13;8,84;229,96;-1798,38;778;-1883,59;
434;14,46;12;25;2,99;5,97;5,81;0,96;5,73;1918,7;2,39;39,88;181,58;29,85;179,1;-653,05;-254,41;-621,89;
435;14,492;16;49;3,94;11,7;5,3;0,72;5,25;1924,01;3,1;45,13;160,68;21,71;159,2;-1445,85;-456,85;-1407,11;
436;14,525;20;71;4,66;16,96;4,07;0,24;4,06;1928,07;3,34;49,19;112,96;6,63;112,77;-254,89;36,85;-257,97;
437;14,561;20;88;4,9;21,01;3,11;0,24;3,1;1931,19;3,58;52,3;103,79;7,96;103,48;-2021,19;189,53;-2084,81;
438;14,591;22;101;5,13;24,12;1,51;0,48;1,43;1932,7;4,06;53,73;43,15;13,65;40,94;-949,13;-189,21;-1370,34;
439;14,626;24;107;5,61;25,55;0,34;0,24;-0,24;1933,03;4,3;53,49;9,93;7,02;-7,02;1316,71;183,63;-1354,24;
440;14,66;24;106;5,85;25,31;1,97;0,48;-1,91;1935;4,78;51,58;54,7;13,27;-53,07;1584,04;-147,41;-1621,52;
441;14,696;26;98;6,33;23,4;3,35;0,24;-3,34;1938,36;5,01;48,24;111,73;7,96;-111,44;1275,71;-762,85;-1260,36;
442;14,726;28;84;6,57;20,06;4,8;-0,48;-4,78;1943,16;4,54;43,46;150;-14,93;-149,25;-1152,49;466,42;1129,22;
443;14,758;26;64;6,09;15,28;4,3;0;-4,3;1947,45;4,54;39,16;113,12;0;-113,12;5235,21;-349,13;-5227,79;
444;14,796;26;46;6,09;10,99;11,23;-0,48;-11,22;1958,69;4,06;27,94;312,06;-13,27;-311,77;-2979,22;558,06;2974,55;
445;14,832;24;-1;5,61;-0,24;7,17;0,24;-7,16;1965,86;4,3;20,78;204,8;6,82;-204,69;995,12;373,64;-974,72;
446;14,867;24;-31;5,85;-7,4;5,75;0,48;-5,73;1971,61;4,78;15,04;239,63;19,9;-238,81;-3951,51;634,08;4097,16;
447;14,891;26;-55;6,33;-13,13;4,92;1,19;-4,78;1976,53;5,97;10,27;144,8;35,12;-140,47;-379,78;-681,71;268,55;
448;14,925;32;-75;7,52;-17,91;5,28;0,48;-5,25;1981,81;6,45;5,01;131,88;11,94;-131,34;-201,49;-298,51;187,95;
449;14,965;34;-97;8;-23,16;3,34;0;-3,34;1985,15;6,45;1,67;123,83;0;-123,83;-3480,54;0;3480,54;
450;14,992;34;-111;8;-26,51;1,67;0;-1,67;1986,82;6,45;0;29,85;0;-29,85;-106,61;0;959,49;
451;15,048;34;-118;8;-28,18;0,24;0;0,24;1987,06;6,45;0,24;23,88;0;23,88;1023,45;0;1023,45;
452;15,058;34;-117;8;-27,94;1,43;0;1,43;1988,49;6,45;1,67;34,12;0;34,12;1462,08;0;1462,08;
453;15,1;34;-111;8;-26,51;3,34;0;3,34;1991,84;6,45;5,01;95,52;0;95,52;1083,66;0;1083,66;
454;15,135;34;-97;8;-23,16;4,54;0;4,54;1996,37;6,45;9,55;133,45;0;133,45;-245,68;-1097,45;-413,16;
455;15,169;34;-78;8;-18,63;4;-1,19;3,82;2000,38;5,25;13,37;125,1;-37,31;119,4;3261,1;867,54;3432,84;
456;15,201;28;-62;6,81;-14,81;5,74;-0,24;5,73;2006,11;5,01;19,1;229,45;-9,55;229,25;-2258,89;-148,59;-2271,31;
457;15,226;28;-38;6,57;-9,07;6,23;-0,48;6,21;2012,34;4,54;25,31;172,98;-13,27;172,47;1386,25;368,53;1400,41;
458;15,262;26;-12;6,09;-2,87;6,69;0;6,69;2019,03;4,54;32;222,89;0;222,89;-885,33;408,22;-898,07;
459;15,292;26;16;6,09;3,82;7,66;0,48;7,64;2026,68;5,01;39,64;196,33;12,25;195,94;-266,08;-87,23;-261,68;
460;15,331;28;48;6,57;11,46;5,02;0,24;5,01;2031,7;5,25;44,66;185,95;8,84;185,74;-2062,62;-327,58;-2054,82;
461;15,358;28;69;6,81;16,48;4,3;0;4,3;2036;5,25;48,96;130,26;0;130,26;-1384,28;-212,84;-1393,13;
462;15,391;28;87;6,81;20,78;2,88;-0,24;2,87;2038,88;5,01;51,82;84,58;-7,02;84,28;-1230,97;0;-1239,48;
463;15,425;28;99;6,57;23,64;1,45;-0,24;1,43;2040,33;4,78;53,25;42,72;-7,02;42,14;-780,65;-219,1;-1452,32;
464;15,459;26;105;6,33;25,07;0,53;-0,48;-0,24;2040,86;4,3;53,01;16,18;-14,47;-7,24;932,65;262,08;-1192,72;
465;15,492;24;104;5,85;24,84;1,93;-0,24;-1,91;2042,79;4,06;51,1;46,96;-5,82;-46,6;1673,67;-58,78;-1675,35;
466;15,533;24;96;5,61;22,93;3,35;-0,24;-3,34;2046,14;3,82;47,76;115,58;-8,23;-115,29;370,17;-149,45;-358,68;
467;15,562;22;82;5,37;19,58;4,8;-0,48;-4,78;2050,94;3,34;42,99;126,31;-12,57;-125,69;2655,43;-1119,48;-2493,39;
468;15,6;20;62;4,9;14,81;5,91;-1,43;-5,73;2056,85;1,91;37,25;227,22;-55,11;-220,44;-2140,8;1884,07;1884,07;
469;15,626;14;38;3,46;9,07;6,69;-0,24;-6,69;2063,54;1,67;30,57;171,56;-6,12;-171,45;1921,04;-367,84;-1902,01;
470;15,665;14;10;3,22;2,39;8,63;-0,72;-8,6;2072,17;0,96;21,97;246,48;-20,47;-245,63;-1564,95;1039,7;1559,55;
471;15,7;10;-26;2,51;-6,21;5,75;0,48;-5,73;2077,92;1,43;16,24;191,71;15,92;-191,04;-77,91;322,2;113,72;
472;15,73;12;-50;2,99;-11,94;5,3;0,72;-5,25;2083,22;2,15;10,99;189,37;25,59;-187,63;-2688,04;-1107,63;2630,63;
473;15,758;16;-72;3,7;-17,19;5,02;-0,24;-5,01;2088,24;1,91;5,97;114,1;-5,43;-113,98;954,18;359,32;-949,26;
474;15,802;14;-93;3,46;-22,21;3,59;0,24;-3,58;2091,83;2,15;2,39;156,09;10,38;-155,74;-5019,17;-451,43;5004,14;
475;15,825;16;-108;3,7;-25,79;1,91;0;-1,91;2093,74;2,15;0,48;40,65;0;-40,65;-330,01;534,84;864,85;
476;15,872;16;-116;3,7;-27,7;0,48;0,48;0;2094,22;2,63;0,48;25,14;25,14;0;610,82;-604,81;1795,53;
477;15,891;18;-116;4,18;-27,7;1,29;0,48;1,19;2095,51;3,1;1,67;36,74;13,65;34,12;1646;-183,13;1713,14;
478;15,926;20;-111;4,66;-26,51;3,11;0,24;3,1;2098,62;3,34;4,78;94,35;7,24;94,08;0;0;0;
479;15,959;20;-98;4,9;-23,4;0;0;0;0;0;0;0;0;0;0;0;0;
